placeDcid,placeName,Date:Count_Person_BachelorOfArtsHumanitiesAndOtherMajor,Value:Count_Person_BachelorOfArtsHumanitiesAndOtherMajor,Source:Count_Person_BachelorOfArtsHumanitiesAndOtherMajor,Date:Count_Person_BachelorOfBusinessMajor,Value:Count_Person_BachelorOfBusinessMajor,Source:Count_Person_BachelorOfBusinessMajor,Date:Count_Person_BachelorOfEducationMajor,Value:Count_Person_BachelorOfEducationMajor,Source:Count_Person_BachelorOfEducationMajor,Date:Count_Person_BachelorOfScienceAndEngineeringMajor,Value:Count_Person_BachelorOfScienceAndEngineeringMajor,Source:Count_Person_BachelorOfScienceAndEngineeringMajor,Date:Count_Person_BachelorOfScienceAndEngineeringRelatedMajor,Value:Count_Person_BachelorOfScienceAndEngineeringRelatedMajor,Source:Count_Person_BachelorOfScienceAndEngineeringRelatedMajor
geoId/01001,Autauga County,2015,1816,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,2476,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,1244,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,2271,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,630,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01003,Baldwin County,2015,7217,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,9340,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,7307,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,11617,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,4229,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01005,Barbour County,2015,396,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,471,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,712,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,582,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,193,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01007,Bibb County,2015,363,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,252,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,506,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,351,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,192,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01009,Blount County,2015,845,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,962,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,1250,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,1142,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,881,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01011,Bullock County,2015,227,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,306,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,146,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,257,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,95,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01013,Butler County,2015,375,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,423,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,550,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,467,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,217,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01015,Calhoun County,2015,3068,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,2845,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,3226,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,3136,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,1543,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01017,Chambers County,2015,499,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,668,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,642,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,669,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,281,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
geoId/01019,Cherokee County,2015,334,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,478,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,774,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,590,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502,2015,402,https://data.census.gov/cedsci/table?q=S1502&tid=ACSST5Y2019.S1502
